locus_tag	ftype	length_bp	gene	EC_number	COG	product
FJOBDCKL_00049	CDS	531	lptA		COG1934	Lipopolysaccharide export system protein LptA
FJOBDCKL_00050	CDS	585	lptC			Lipopolysaccharide export system protein LptC
FJOBDCKL_00051	CDS	558	kdsC	3.1.3.45	COG1778	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC
FJOBDCKL_00052	CDS	990	kdsD	5.3.1.13	COG0517	Arabinose 5-phosphate isomerase KdsD
FJOBDCKL_00053	CDS	957	yrbG_1		COG0530	Inner membrane protein YrbG
FJOBDCKL_00054	CDS	846	mlaF	3.6.3.-	COG1127	putative phospholipid import ATP-binding protein MlaF
FJOBDCKL_00055	CDS	783	mlaE		COG0767	putative phospholipid ABC transporter permease protein MlaE
FJOBDCKL_00056	CDS	465	mlaD		COG1463	putative phospholipid ABC transporter-binding protein MlaD
FJOBDCKL_00057	CDS	639	mlaC		COG2854	putative phospholipid-binding protein MlaC
FJOBDCKL_00058	CDS	336				hypothetical protein
FJOBDCKL_00059	CDS	255	ibaG		COG5007	Acid stress protein IbaG
FJOBDCKL_00060	CDS	1263	murA	2.5.1.7	COG0766	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
FJOBDCKL_00061	tRNA	84				tRNA-Ala(tgc)
FJOBDCKL_00062	CDS	1320	hisD	1.1.1.23	COG0141	Histidinol dehydrogenase
FJOBDCKL_00063	CDS	1269				hypothetical protein
FJOBDCKL_00064	CDS	762	ybgI		COG0327	GTP cyclohydrolase 1 type 2 
FJOBDCKL_00065	CDS	450				hypothetical protein
FJOBDCKL_00066	CDS	1239	zapE_1		COG1485	Cell division protein ZapE
FJOBDCKL_00067	CDS	429	rplM		COG0102	50S ribosomal protein L13
FJOBDCKL_00068	CDS	390	rpsI		COG0103	30S ribosomal protein S9
FJOBDCKL_00069	CDS	600	petA	1.10.2.2	COG0723	Ubiquinol-cytochrome c reductase iron-sulfur subunit
FJOBDCKL_00070	CDS	1260	petB		COG1290	Cytochrome b
FJOBDCKL_00071	CDS	768	petC		COG2857	Ammonia monooxygenase gamma subunit
FJOBDCKL_00072	CDS	627	sspA		COG0625	Stringent starvation protein A
FJOBDCKL_00073	CDS	489	sspB		COG2969	Stringent starvation protein B
FJOBDCKL_00074	CDS	582				hypothetical protein
FJOBDCKL_00075	CDS	594	gmhA	5.3.1.28		Phosphoheptose isomerase
FJOBDCKL_00076	CDS	369				hypothetical protein
FJOBDCKL_00077	CDS	1752	lpoA		COG3107	Penicillin-binding protein activator LpoA
FJOBDCKL_00078	CDS	864	rsmI	2.1.1.198	COG0313	Ribosomal RNA small subunit methyltransferase I
FJOBDCKL_00079	CDS	954	rsmH	2.1.1.199	COG0275	Ribosomal RNA small subunit methyltransferase H
FJOBDCKL_00080	CDS	324	ftsL			Cell division protein FtsL
FJOBDCKL_00081	CDS	1722	ftsI	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase FtsI
FJOBDCKL_00082	CDS	1539	murE	6.3.2.13	COG0769	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
FJOBDCKL_00083	tRNA	96				tRNA-Ala(tgc)
FJOBDCKL_00084	CDS	1083	mraY	2.7.8.13	COG0472	Phospho-N-acetylmuramoyl-pentapeptide-transferase
FJOBDCKL_00085	CDS	1413	murD	6.3.2.9	COG0771	UDP-N-acetylmuramoylalanine--D-glutamate ligase
FJOBDCKL_00086	CDS	1224	ftsW	2.4.1.129	COG0772	putative peptidoglycan glycosyltransferase FtsW
FJOBDCKL_00087	CDS	1089	murG	2.4.1.227	COG0707	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
FJOBDCKL_00088	CDS	1458	murC	6.3.2.8	COG0773	UDP-N-acetylmuramate--L-alanine ligase
FJOBDCKL_00089	CDS	930	ddl	6.3.2.4		D-alanine--D-alanine ligase
FJOBDCKL_00090	CDS	726	ftsQ		COG1589	Cell division protein FtsQ
FJOBDCKL_00091	CDS	1290	ftsA_1		COG0849	Cell division protein FtsA
FJOBDCKL_00092	CDS	1179	ftsZ_1		COG0206	Cell division protein FtsZ
FJOBDCKL_00093	CDS	912	lpxC	3.5.1.108	COG0774	UDP-3-O-acyl-N-acetylglucosamine deacetylase
FJOBDCKL_00094	CDS	546				hypothetical protein
FJOBDCKL_00095	CDS	363				hypothetical protein
FJOBDCKL_00096	CDS	2739	secA		COG0653	Protein translocase subunit SecA
FJOBDCKL_00097	CDS	1218	argJ		COG1364	Arginine biosynthesis bifunctional protein ArgJ
FJOBDCKL_00098	CDS	957	thiE_1	2.5.1.3		Thiamine-phosphate synthase
FJOBDCKL_00099	CDS	1521				hypothetical protein
FJOBDCKL_00100	CDS	1188	aspC_1	2.6.1.1	COG1448	Aspartate aminotransferase
FJOBDCKL_00101	CDS	339		4.2.1.96		Putative pterin-4-alpha-carbinolamine dehydratase
FJOBDCKL_00102	CDS	621				hypothetical protein
FJOBDCKL_00103	CDS	1971	deaD_1	3.6.4.13		ATP-dependent RNA helicase DeaD
FJOBDCKL_00104	CDS	900				hypothetical protein
FJOBDCKL_00105	CDS	1152	cfa	2.1.1.79	COG2230	Cyclopropane-fatty-acyl-phospholipid synthase
FJOBDCKL_00106	CDS	1485				hypothetical protein
FJOBDCKL_00107	CDS	834	cysG_1		COG0007	Siroheme synthase
FJOBDCKL_00108	CDS	1104				hypothetical protein
FJOBDCKL_00109	CDS	1374	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
FJOBDCKL_00110	CDS	666	tctD		COG0745	Transcriptional regulatory protein tctD
FJOBDCKL_00111	CDS	597				hypothetical protein
FJOBDCKL_00112	CDS	987				hypothetical protein
FJOBDCKL_00113	CDS	447				hypothetical protein
FJOBDCKL_00114	CDS	1527				hypothetical protein
FJOBDCKL_00115	CDS	1308	amiC_1			Aliphatic amidase expression-regulating protein
FJOBDCKL_00116	CDS	1602				hypothetical protein
FJOBDCKL_00117	CDS	1140				hypothetical protein
FJOBDCKL_00118	CDS	846	cbiO	3.6.3.-	COG1122	Cobalt import ATP-binding protein CbiO
FJOBDCKL_00119	CDS	699	livF_1		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
FJOBDCKL_00120	CDS	900	ureD		COG0829	Urease accessory protein UreD
FJOBDCKL_00121	CDS	303	ureA	3.5.1.5		Urease subunit gamma
FJOBDCKL_00122	CDS	327	ureB1	3.5.1.5		Urease subunit beta 1
FJOBDCKL_00123	CDS	1704	ureC1	3.5.1.5		Urease subunit alpha 1
FJOBDCKL_00124	CDS	507	ureE			Urease accessory protein UreE
FJOBDCKL_00125	CDS	744	ureF		COG0830	Urease accessory protein UreF
FJOBDCKL_00126	CDS	648	ureG		COG0378	Urease accessory protein UreG
FJOBDCKL_00127	CDS	228				hypothetical protein
FJOBDCKL_00128	CDS	1425				hypothetical protein
FJOBDCKL_00129	CDS	939				hypothetical protein
FJOBDCKL_00130	CDS	675	speE	2.5.1.16		Polyamine aminopropyltransferase
FJOBDCKL_00131	CDS	732	rluF_1	5.4.99.21	COG1187	23S rRNA pseudouridine(2604) synthase
FJOBDCKL_00132	CDS	1119	smc_1			Chromosome partition protein Smc
FJOBDCKL_00133	CDS	804	apbC		COG0489	Iron-sulfur cluster carrier protein
FJOBDCKL_00134	CDS	567	dcd	3.5.4.13		dCTP deaminase
FJOBDCKL_00135	CDS	738	purN	2.1.2.2	COG0299	Phosphoribosylglycinamide formyltransferase
FJOBDCKL_00136	CDS	1065	purM	6.3.3.1	COG0150	Phosphoribosylformylglycinamidine cyclo-ligase
FJOBDCKL_00137	CDS	1080			COG0628	Putative transport protein
FJOBDCKL_00138	CDS	702	hda		COG0593	DnaA regulatory inactivator Hda
FJOBDCKL_00139	CDS	552				hypothetical protein
FJOBDCKL_00140	CDS	381				hypothetical protein
FJOBDCKL_00141	CDS	1380	fumC	4.2.1.2	COG0114	Fumarate hydratase class II
FJOBDCKL_00142	CDS	1065				hypothetical protein
FJOBDCKL_00143	CDS	810	phnE_1		COG3639	Phosphate-import permease protein PhnE
FJOBDCKL_00144	CDS	816				hypothetical protein
FJOBDCKL_00145	CDS	816	phnC_1	3.6.3.27	COG3638	Phosphate-import ATP-binding protein PhnC
FJOBDCKL_00146	CDS	969	ptxB_1			putative phosphite transport system-binding protein PtxB
FJOBDCKL_00147	CDS	597	gpmB	5.4.2.-		phosphoglycerate mutase GpmB
FJOBDCKL_00148	CDS	1512	glpD	1.1.5.3	COG0578	Aerobic glycerol-3-phosphate dehydrogenase
FJOBDCKL_00149	CDS	759	glpR		COG1349	Glycerol-3-phosphate regulon repressor
FJOBDCKL_00150	CDS	1485	glpK	2.7.1.30		Glycerol kinase
FJOBDCKL_00151	tRNA	77				tRNA-Val(gac)
FJOBDCKL_00152	tRNA	77				tRNA-Val(gac)
FJOBDCKL_00153	CDS	459	msrC	1.8.4.14	COG1956	Free methionine-R-sulfoxide reductase
FJOBDCKL_00154	CDS	1173				IS200/IS605 family transposase ISPa18
FJOBDCKL_00155	CDS	789	metQ		COG1464	D-methionine-binding lipoprotein MetQ
FJOBDCKL_00156	CDS	654	metI		COG2011	D-methionine transport system permease protein MetI
FJOBDCKL_00157	CDS	1062	metN	3.6.3.-	COG1135	Methionine import ATP-binding protein MetN
FJOBDCKL_00158	CDS	630	ribC	2.5.1.9	COG0307	Riboflavin synthase
FJOBDCKL_00159	CDS	1305	adeP_1		COG2252	Adenine permease AdeP
FJOBDCKL_00160	CDS	546	apt	2.4.2.7		Adenine phosphoribosyltransferase
FJOBDCKL_00161	CDS	480	gpt	2.4.2.22	COG0503	Xanthine phosphoribosyltransferase
FJOBDCKL_00162	CDS	699	ung	3.2.2.27	COG0692	Uracil-DNA glycosylase
FJOBDCKL_00163	CDS	630	upp	2.4.2.9	COG0035	Uracil phosphoribosyltransferase
FJOBDCKL_00164	CDS	1245	pyrP			Uracil permease
FJOBDCKL_00165	CDS	900		3.5.1.77		N-carbamoyl-D-amino acid hydrolase
FJOBDCKL_00166	CDS	1044	aguA	3.5.3.12	COG2957	Putative agmatine deiminase
FJOBDCKL_00167	CDS	825				hypothetical protein
FJOBDCKL_00168	CDS	2307				hypothetical protein
FJOBDCKL_00169	CDS	1242	lolE		COG4591	Lipoprotein-releasing system transmembrane protein LolE
FJOBDCKL_00170	CDS	714	lolD	3.6.3.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
FJOBDCKL_00171	CDS	540				hypothetical protein
FJOBDCKL_00172	CDS	2283	comEC		COG0658	ComE operon protein 3
FJOBDCKL_00173	CDS	699				hypothetical protein
FJOBDCKL_00174	CDS	438	exbD_1		COG0848	Biopolymer transport protein ExbD
FJOBDCKL_00175	CDS	1773	msbA	3.6.3.-	COG1132	Lipid A export ATP-binding/permease protein MsbA
FJOBDCKL_00176	CDS	1068	lpxK	2.7.1.130	COG1663	Tetraacyldisaccharide 4'-kinase
FJOBDCKL_00177	CDS	210				hypothetical protein
FJOBDCKL_00178	CDS	807	kdsB	2.7.7.38	COG1212	3-deoxy-manno-octulosonate cytidylyltransferase
FJOBDCKL_00179	CDS	477	yfkJ	3.1.3.48	COG0394	Low molecular weight protein-tyrosine-phosphatase YfkJ
FJOBDCKL_00180	CDS	1020	murB	1.3.1.98	COG0812	UDP-N-acetylenolpyruvoylglucosamine reductase
FJOBDCKL_00181	CDS	3243	rne	3.1.26.12		Ribonuclease E
FJOBDCKL_00182	CDS	948	rluC	5.4.99.24	COG0564	Ribosomal large subunit pseudouridine synthase C
FJOBDCKL_00183	CDS	654	ppaX	3.6.1.1	COG0546	Pyrophosphatase PpaX
FJOBDCKL_00184	CDS	1098				hypothetical protein
FJOBDCKL_00185	CDS	591	yceF		COG0424	Maf-like protein YceF
FJOBDCKL_00186	CDS	528	yceD		COG1399	Large ribosomal RNA subunit accumulation protein YceD
FJOBDCKL_00187	CDS	171	rpmF		COG0333	50S ribosomal protein L32
FJOBDCKL_00188	CDS	1062	plsX	2.3.1.-	COG0416	Phosphate acyltransferase
FJOBDCKL_00189	CDS	960	fabD	2.3.1.39	COG0331	Malonyl CoA-acyl carrier protein transacylase
FJOBDCKL_00190	CDS	744	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
FJOBDCKL_00191	CDS	234	acpP		COG0236	Acyl carrier protein
FJOBDCKL_00192	CDS	1239	fabF	2.3.1.179	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 2
FJOBDCKL_00193	CDS	804	pabC	4.1.3.38	COG0115	Aminodeoxychorismate lyase
FJOBDCKL_00194	CDS	1008	mltG	4.2.2.-	COG1559	Endolytic murein transglycosylase
FJOBDCKL_00195	CDS	645	tmk	2.7.4.9	COG0125	Thymidylate kinase
FJOBDCKL_00196	CDS	1011				hypothetical protein
FJOBDCKL_00197	CDS	336				hypothetical protein
FJOBDCKL_00198	CDS	849	ycfH	3.1.-.-	COG0084	putative metal-dependent hydrolase YcfH
FJOBDCKL_00199	CDS	561				hypothetical protein
FJOBDCKL_00200	CDS	2196	uvrD_1	3.6.4.12	COG0210	DNA helicase II
FJOBDCKL_00201	CDS	825	sseB	2.8.1.1	COG2897	Putative thiosulfate sulfurtransferase SseB
FJOBDCKL_00202	CDS	1668		1.5.5.1	COG0644	Electron transfer flavoprotein-ubiquinone oxidoreductase
FJOBDCKL_00203	CDS	765	etfB_1			Electron transfer flavoprotein subunit beta
FJOBDCKL_00204	CDS	927	etfA_1		COG2025	Electron transfer flavoprotein subunit alpha
FJOBDCKL_00205	CDS	612	sodB_1	1.15.1.1		Superoxide dismutase [Mn/Fe]
FJOBDCKL_00206	CDS	228	nrdH		COG0695	Glutaredoxin-like protein NrdH
FJOBDCKL_00207	CDS	432	nrdI		COG1780	Protein NrdI
FJOBDCKL_00208	CDS	2163	nrdE1	1.17.4.1	COG0209	Ribonucleoside-diphosphate reductase subunit alpha 1
FJOBDCKL_00209	CDS	975	nrdF2	1.17.4.1	COG0208	Ribonucleoside-diphosphate reductase subunit beta nrdF2
FJOBDCKL_00210	CDS	780				hypothetical protein
FJOBDCKL_00211	CDS	1389				hypothetical protein
FJOBDCKL_00212	CDS	537				hypothetical protein
FJOBDCKL_00213	CDS	411	exbD_2		COG0848	Biopolymer transport protein ExbD
FJOBDCKL_00214	CDS	774				hypothetical protein
FJOBDCKL_00215	CDS	1041				hypothetical protein
FJOBDCKL_00216	CDS	2145	dinG	3.6.4.12	COG1199	putative ATP-dependent helicase DinG
FJOBDCKL_00217	CDS	1275	rhlB	3.6.4.13	COG0513	ATP-dependent RNA helicase RhlB
FJOBDCKL_00218	CDS	258				hypothetical protein
FJOBDCKL_00219	CDS	828	xthA	3.1.11.2	COG0708	Exodeoxyribonuclease III
FJOBDCKL_00220	CDS	1077	aroF_1	2.5.1.54	COG0722	Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive
FJOBDCKL_00221	CDS	606	rpoE		COG1595	ECF RNA polymerase sigma-E factor
FJOBDCKL_00222	CDS	720				hypothetical protein
FJOBDCKL_00223	CDS	969				hypothetical protein
FJOBDCKL_00224	CDS	1416				hypothetical protein
FJOBDCKL_00225	CDS	1818	lepA	3.6.5.-	COG0481	Elongation factor 4
FJOBDCKL_00226	CDS	804	lepB	3.4.21.89	COG0681	Signal peptidase I
FJOBDCKL_00227	CDS	690	rnc	3.1.26.3	COG0571	Ribonuclease 3
FJOBDCKL_00228	CDS	900	era		COG1159	GTPase Era
FJOBDCKL_00229	CDS	702	recO		COG1381	DNA repair protein RecO
FJOBDCKL_00230	CDS	810	pdxJ	2.6.99.2		Pyridoxine 5'-phosphate synthase
FJOBDCKL_00231	CDS	378	acpS	2.7.8.7	COG0736	Holo-[acyl-carrier-protein] synthase
FJOBDCKL_00232	CDS	2724	barA	2.7.13.3	COG0784	Signal transduction histidine-protein kinase BarA
FJOBDCKL_00233	CDS	897	cysM	2.5.1.47	COG0031	Cysteine synthase B
FJOBDCKL_00234	CDS	1452	rlmD	2.1.1.190	COG2265	23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD
FJOBDCKL_00235	CDS	2289	relA	2.7.6.5	COG0317	GTP pyrophosphokinase
FJOBDCKL_00236	CDS	945	mazG	3.6.1.8	COG1694	Nucleoside triphosphate pyrophosphohydrolase
FJOBDCKL_00237	CDS	2649	ppc	4.1.1.31	COG2352	Phosphoenolpyruvate carboxylase
FJOBDCKL_00238	CDS	618				hypothetical protein
FJOBDCKL_00239	CDS	900	panE_1	1.1.1.169	COG1893	2-dehydropantoate 2-reductase
FJOBDCKL_00240	CDS	1935	topB_1	5.99.1.2	COG0550	DNA topoisomerase 3
FJOBDCKL_00241	CDS	1251	ubiB_1	2.7.-.-		protein kinase UbiB
FJOBDCKL_00242	CDS	1842				hypothetical protein
FJOBDCKL_00243	CDS	1368	ampG		COG0477	Protein AmpG
FJOBDCKL_00244	CDS	534	rfaH		COG0250	Transcription antitermination protein RfaH
FJOBDCKL_00245	CDS	507	slyD_1	5.2.1.8	COG1047	FKBP-type peptidyl-prolyl cis-trans isomerase SlyD
FJOBDCKL_00246	CDS	111				hypothetical protein
FJOBDCKL_00247	CDS	417				hypothetical protein
FJOBDCKL_00248	CDS	1200				hypothetical protein
FJOBDCKL_00249	CDS	648				hypothetical protein
FJOBDCKL_00250	CDS	1713	proS	6.1.1.15	COG0442	Proline--tRNA ligase
FJOBDCKL_00251	CDS	1545	cat1	2.8.3.-	COG0427	Succinyl-CoA:coenzyme A transferase
FJOBDCKL_00252	CDS	1191				hypothetical protein
FJOBDCKL_00253	CDS	855				hypothetical protein
FJOBDCKL_00254	CDS	930				hypothetical protein
FJOBDCKL_00255	CDS	537				hypothetical protein
FJOBDCKL_00256	CDS	321				hypothetical protein
FJOBDCKL_00257	CDS	765	bacC_1	1.1.1.385		Dihydroanticapsin 7-dehydrogenase
FJOBDCKL_00258	CDS	897	garR	1.1.1.60	COG2084	2-hydroxy-3-oxopropionate reductase
FJOBDCKL_00259	CDS	294				hypothetical protein
FJOBDCKL_00260	CDS	516				hypothetical protein
FJOBDCKL_00261	CDS	291				hypothetical protein
FJOBDCKL_00262	CDS	231				hypothetical protein
FJOBDCKL_00263	CDS	267				hypothetical protein
FJOBDCKL_00264	CDS	180				hypothetical protein
FJOBDCKL_00265	CDS	1485	nhaD_1		COG1055	Na(+)/H(+) antiporter NhaD
FJOBDCKL_00266	CDS	303				hypothetical protein
FJOBDCKL_00267	CDS	2316	polB	2.7.7.7	COG0417	DNA polymerase II
FJOBDCKL_00268	CDS	351				hypothetical protein
FJOBDCKL_00269	CDS	438	trxC	1.8.1.8	COG0526	Thioredoxin 2
FJOBDCKL_00270	CDS	1032	yejK		COG3081	Nucleoid-associated protein YejK
FJOBDCKL_00271	CDS	1083	rssB			Regulator of RpoS
FJOBDCKL_00272	CDS	1434	sasA_2	2.7.-.-		Adaptive-response sensory-kinase SasA
FJOBDCKL_00273	CDS	507				hypothetical protein
FJOBDCKL_00274	CDS	633				hypothetical protein
FJOBDCKL_00275	CDS	762	yadH_1		COG0842	Inner membrane transport permease YadH
FJOBDCKL_00276	CDS	939	yadG_1		COG1131	putative ABC transporter ATP-binding protein YadG
FJOBDCKL_00277	CDS	207				hypothetical protein
FJOBDCKL_00278	CDS	2604	acnB	4.2.1.3	COG1049	Aconitate hydratase B
FJOBDCKL_00279	CDS	1074	dinB	2.7.7.7	COG0389	DNA polymerase IV
FJOBDCKL_00280	CDS	654	lexA_1	3.4.21.88	COG1974	LexA repressor
FJOBDCKL_00281	CDS	666				hypothetical protein
FJOBDCKL_00282	CDS	1059	nagZ	3.2.1.52	COG1472	Beta-hexosaminidase
FJOBDCKL_00283	CDS	579	hpt	2.4.2.8		Hypoxanthine-guanine phosphoribosyltransferase
FJOBDCKL_00284	CDS	1692	fadD3	6.2.1.41	COG0318	3-[(3aS,4S,7aS)-7a-methyl-1,5-dioxo-octahydro-1H-inden-4-yl]propanoyl:CoA ligase
FJOBDCKL_00285	CDS	453				hypothetical protein
FJOBDCKL_00286	CDS	1173	acdA_1	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
FJOBDCKL_00287	CDS	1155	fadB_1	1.1.1.35		Fatty acid oxidation complex subunit alpha
FJOBDCKL_00288	CDS	897	mmsB	1.1.1.31	COG2084	3-hydroxyisobutyrate dehydrogenase
FJOBDCKL_00289	CDS	258				hypothetical protein
FJOBDCKL_00290	CDS	408	vapC	3.1.-.-	COG1487	tRNA(fMet)-specific endonuclease VapC
FJOBDCKL_00291	CDS	231	vapB		COG4456	Antitoxin VapB
FJOBDCKL_00292	CDS	669				hypothetical protein
FJOBDCKL_00293	CDS	1515				hypothetical protein
FJOBDCKL_00294	CDS	624	vraR		COG2197	Response regulator protein VraR
FJOBDCKL_00295	CDS	1431	prsE			Type I secretion system membrane fusion protein PrsE
FJOBDCKL_00296	CDS	2172	apxIB		COG2274	Toxin RTX-I translocation ATP-binding protein
FJOBDCKL_00297	CDS	2061				hypothetical protein
FJOBDCKL_00298	CDS	282				hypothetical protein
FJOBDCKL_00299	CDS	1482	thiI	2.8.1.4	COG0301	tRNA sulfurtransferase
FJOBDCKL_00300	CDS	3162				hypothetical protein
FJOBDCKL_00301	CDS	2037	metG	6.1.1.10	COG0073	Methionine--tRNA ligase
FJOBDCKL_00302	CDS	795	rsxB_1			Electron transport complex subunit RsxB
FJOBDCKL_00303	CDS	636	nth	4.2.99.18	COG0177	Endonuclease III
FJOBDCKL_00304	CDS	750				hypothetical protein
FJOBDCKL_00305	CDS	1008	arsA	3.6.3.16		Arsenical pump-driving ATPase
FJOBDCKL_00306	CDS	303				hypothetical protein
FJOBDCKL_00307	CDS	1677	cstA		COG1966	Peptide transporter CstA
FJOBDCKL_00308	CDS	705				hypothetical protein
FJOBDCKL_00309	CDS	372	phoB_1		COG0745	Phosphate regulon transcriptional regulatory protein PhoB
FJOBDCKL_00310	CDS	2061	polC_1	2.7.7.7		DNA polymerase III PolC-type
FJOBDCKL_00311	CDS	219				hypothetical protein
FJOBDCKL_00312	CDS	2769	sasA_3	2.7.-.-		Adaptive-response sensory-kinase SasA
FJOBDCKL_00313	CDS	1128				hypothetical protein
FJOBDCKL_00314	CDS	321				hypothetical protein
FJOBDCKL_00315	CDS	1221	argG	6.3.4.5	COG0137	Argininosuccinate synthase
FJOBDCKL_00316	CDS	669	rnt	3.1.13.-	COG0847	Ribonuclease T
FJOBDCKL_00317	CDS	345	grxD		COG0278	Glutaredoxin 4
FJOBDCKL_00318	CDS	921	argF	2.1.3.3	COG0078	Ornithine carbamoyltransferase, anabolic
FJOBDCKL_00319	CDS	306				hypothetical protein
FJOBDCKL_00320	CDS	1098	thiO	1.4.3.19	COG0665	Glycine oxidase
FJOBDCKL_00321	CDS	210				hypothetical protein
FJOBDCKL_00322	CDS	810	thiG	2.8.1.10	COG2022	Thiazole synthase
FJOBDCKL_00323	CDS	1209	macB	3.6.3.-	COG0577	Macrolide export ATP-binding/permease protein MacB
FJOBDCKL_00324	CDS	735	yknY	3.6.3.-	COG1136	putative ABC transporter ATP-binding protein YknY
FJOBDCKL_00325	CDS	1242	macA		COG0845	Macrolide export protein MacA
